STATE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
101,2010,98.65,74.42,219.27,227.68,185.10,282.22,226.32,201.12,194.04,151.03,275.91,212.30
102,2010,74.61,29.97,87.13,148.10,126.18,268.52,188.09,159.81,187.04,275.31,455.28,294.92
103,2010,84.67,24.86,58.37,77.75,120.47,166.51,214.42,135.19,144.97,277.50,608.57,550.95
104,2010,132.35,147.80,189.22,282.07,204.16,281.77,184.29,205.93,183.01,121.62,259.54,220.18
105,2010,146.56,175.72,193.70,305.36,244.23,256.95,188.50,198.18,200.56,124.69,258.46,224.92
106,2010,102.56,42.97,114.83,165.53,160.41,249.65,209.14,174.42,172.36,178.09,355.02,334.45
108,2010,140.95,51.45,104.81,158.15,166.70,202.58,170.05,146.47,146.58,198.35,415.71,328.60
109,2010,162.85,166.53,169.86,289.32,275.28,206.42,192.13,169.13,212.82,147.29,294.52,259.75
111,2010,119.89,32.71,83.72,106.04,179.33,175.53,269.63,138.17,177.98,207.93,497.61,612.91
112,2010,256.70,20.75,66.87,174.71,226.94,307.70,247.77,281.75,285.41,193.24,319.23,383.24
113,2010,387.83,167.79,212.38,239.98,274.24,253.89,381.65,381.09,365.65,276.95,365.50,358.71
